date,domain,format,country,ad_size,device,adSelectionEmissions,creativeDistributionEmissions,mediaDistributionEmissions,totalEmissions,domainCoverage
07/18/2025,engadget.com,audio,France,970x250,tablet,0.01099197,0.00015749,0.00017025,0.01131971,modeled
07/09/2025,bloomberg.com,native,India,300x250,desktop,0.01795161,0.0001628,7.317e-05,0.01818758,measured
07/10/2025,nytimes.com,banner,United States,970x250,tablet,0.01278435,0.00010395,0.00016215,0.01305045,modeled
07/04/2025,cnn.com,native,Japan,728x90,tablet,0.00425846,5.902e-05,0.00011736,0.00443484,modeled
07/07/2025,yahoo.com,banner,France,300x250,tablet,0.02244606,0.00010109,0.00012579,0.02267294,measured
07/16/2025,forbes.com,banner,United Kingdom,160x600,tablet,0.00214105,8.163e-05,0.00013965,0.00236234,measured
07/13/2025,nytimes.com,native,Germany,728x90,mobile,0.07297998,7.152e-05,0.00016696,0.07321847,modeled
07/17/2025,engadget.com,banner,United Kingdom,970x250,tablet,0.03620213,0.0001419,0.00033702,0.03668106,modeled
07/29/2025,yahoo.com,banner,Australia,728x90,mobile,0.00432912,3.435e-05,8.298e-05,-0.00368829,modeled
07/03/2025,techcrunch.com,audio,Australia,970x250,tablet,0.00359317,8.784e-05,5.913e-05,0.00374014,measured
07/18/2025,fox32chicago.com,banner,India,970x250,mobile,0.04575209,4.231e-05,0.00010276,0.04589716,measured
07/04/2025,engadget.com,audio,United States,300x250,desktop,0.02952962,2.646e-05,2.669e-05,0.02958277,measured
07/05/2025,theverge.com,audio,China,300x250,tablet,0.01916572,0.00010126,0.00023148,0.01949845,modeled
07/05/2025,nytimes.com,video,Canada,320x50,mobile,0.02435377,0.00010401,7.471e-05,0.02453249,measured
07/07/2025,theverge.com,banner,United Kingdom,160x600,tablet,0.01984845,0.00010372,7.233e-05,0.02002449,measured
07/21/2025,msn.com,banner,Canada,728x90,mobile,0.05422076,0.00011781,5.588e-05,0.05439445,modeled
07/12/2025,techcrunch.com,audio,United States,320x50,tablet,0.02903278,0.00016227,0.00018067,0.02937572,measured
07/06/2025,theverge.com,video,India,320x50,mobile,0.0136952,4.353e-05,0.00012553,0.01386426,modeled
07/22/2025,bloomberg.com,native,India,320x50,desktop,0.02147026,8.418e-05,0.00034684,0.02190128,measured
07/05/2025,usatoday.com,video,Japan,970x250,mobile,0.02611913,3.935e-05,5.05e-05,0.02620897,measured
07/20/2025,theverge.com,audio,Germany,300x250,mobile,0.02370351,6.973e-05,0.0002215,0.02399474,modeled
07/21/2025,washingtonpost.com,display,United States,728x90,tablet,0.02355306,7.872e-05,6.36e-05,0.02369538,measured
07/10/2025,theverge.com,video,China,728x90,desktop,0.003762,9.793e-05,4.162e-05,0.00390155,measured
07/28/2025,forbes.com,video,Australia,320x50,desktop,0.00766204,9.366e-05,0.00013944,0.00789513,measured
07/28/2025,engadget.com,native,France,320x50,mobile,0.00583722,0.00017462,0.00027447,0.0062863,measured
07/29/2025,bloomberg.com,display,Canada,300x250,mobile,0.02423914,0.00012109,0.00019391,0.02455415,modeled
07/14/2025,engadget.com,banner,United States,320x50,desktop,0.0322656,0.00013285,6.838e-05,0.03246683,measured
07/21/2025,reuters.com,native,Canada,300x600,tablet,0.01379248,0.00033983,1.852e-05,0.01415083,measured
07/06/2025,forbes.com,audio,India,970x250,tablet,0.0112863,0.00017524,7.226e-05,0.0115338,modeled
08/02/2025,cnn.com,audio,Canada,320x50,tablet,0.02706979,8.631e-05,7.672e-05,0.02723283,modeled
07/30/2025,bloomberg.com,display,Australia,300x600,desktop,0.00181011,9.596e-05,6.709e-05,0.00197316,measured
07/09/2025,theverge.com,display,China,160x600,tablet,0.01522887,0.00012037,0.00024422,0.01559346,measured
07/29/2025,reuters.com,native,Brazil,160x600,tablet,0.01125632,4.788e-05,4.09e-05,0.00708338,measured
07/09/2025,washingtonpost.com,display,China,300x250,desktop,0.03154629,0.00030909,0.00027092,0.0321263,modeled
07/24/2025,fox32chicago.com,audio,Brazil,300x250,mobile,0.03895601,4.549e-05,0.00018462,0.03918613,modeled
07/16/2025,weather.com,video,France,970x250,tablet,0.02880069,3.316e-05,0.00038297,0.02921682,modeled
07/03/2025,nytimes.com,native,India,300x250,tablet,0.00418213,0.00021528,3.322e-05,0.00443064,modeled
07/10/2025,techcrunch.com,audio,India,300x600,mobile,0.00693538,0.00011686,0.00014067,0.00719291,modeled
08/02/2025,forbes.com,audio,Australia,160x600,desktop,0.01217077,0.00023336,4.2e-05,0.01244612,measured
07/26/2025,nytimes.com,audio,Japan,160x600,tablet,0.01478292,0.00012737,0.00016451,0.0150748,measured
07/10/2025,nytimes.com,audio,Canada,300x250,desktop,0.0098509,5.079e-05,0.00024174,0.01014342,modeled
07/07/2025,cnn.com,audio,Canada,160x600,mobile,0.03118691,0.00010478,6.473e-05,0.03135643,modeled
07/04/2025,techcrunch.com,audio,United States,160x600,mobile,0.01043034,8.199e-05,0.00014582,0.01065815,measured
07/03/2025,engadget.com,audio,Australia,970x250,tablet,0.02477436,7.095e-05,0.00023804,0.02508335,measured
07/20/2025,washingtonpost.com,native,United States,320x50,tablet,0.02952948,0.0001992,0.00013551,0.02986419,modeled
07/24/2025,theverge.com,audio,China,300x250,mobile,0.02121169,7.521e-05,6.542e-05,0.02135232,modeled
07/21/2025,weather.com,video,Brazil,300x250,mobile,0.06090096,0.00018267,0.00023295,0.06131658,modeled
07/15/2025,techcrunch.com,native,Japan,320x50,desktop,0.01650906,3.78e-05,0.00026153,0.01680839,measured
07/18/2025,cnn.com,banner,United States,728x90,desktop,0.01483934,0.00011293,8.318e-05,0.01582382,measured
07/29/2025,cnn.com,native,France,970x250,mobile,0.02003342,5.471e-05,9.036e-05,0.01322613,modeled
07/27/2025,espn.com,audio,United Kingdom,300x250,mobile,0.01984549,2.045e-05,3.44e-05,0.01990034,modeled
07/21/2025,forbes.com,video,China,300x250,tablet,0.00900574,7.03e-05,0.00024298,0.00931902,measured
07/27/2025,reuters.com,audio,Canada,160x600,tablet,0.01468596,8.214e-05,0.00010569,0.01487379,modeled
07/14/2025,weather.com,native,United Kingdom,320x50,tablet,0.02118975,4.053e-05,0.00012241,0.02135269,measured
07/31/2025,forbes.com,audio,Japan,300x600,mobile,0.02240925,9.865e-05,0.00013464,0.02264254,modeled
07/17/2025,nytimes.com,display,United Kingdom,160x600,desktop,0.0169851,0.00011979,0.00050226,0.01760714,measured
07/27/2025,yahoo.com,native,Germany,728x90,mobile,0.00859337,0.00031967,6.606e-05,0.0089791,measured
07/28/2025,forbes.com,banner,India,300x600,desktop,0.00153513,5.379e-05,0.00017184,0.00176077,measured
07/05/2025,techcrunch.com,native,Brazil,160x600,desktop,0.05451597,3.775e-05,0.00019086,0.05474459,measured
07/05/2025,washingtonpost.com,native,Canada,300x600,tablet,0.0047724,0.00026627,0.00029601,0.00533468,measured
07/14/2025,yahoo.com,video,Japan,300x250,tablet,0.01131376,0.00020483,0.00012185,0.01164044,measured
07/09/2025,forbes.com,audio,China,300x600,mobile,0.03829821,8.367e-05,0.00013824,0.03852012,modeled
07/06/2025,espn.com,video,India,320x50,desktop,0.01150539,0.00013035,0.00014615,0.01178189,measured
07/04/2025,techcrunch.com,audio,United States,320x50,mobile,0.02422926,1.835e-05,0.00031361,0.02456122,modeled
07/18/2025,washingtonpost.com,banner,Brazil,300x250,mobile,0.04578291,9.103e-05,0.0004795,0.04635343,modeled
07/18/2025,techcrunch.com,banner,Japan,728x90,desktop,0.05115042,0.00013232,0.00033052,0.05161326,modeled
07/20/2025,weather.com,display,Brazil,300x600,mobile,0.03440524,1.356e-05,0.0001074,0.0345262,modeled
07/12/2025,forbes.com,video,France,320x50,tablet,0.02775231,0.00023886,3.556e-05,0.02802673,modeled
07/05/2025,espn.com,native,,970x250,tablet,0.00292989,7.98e-05,1.351e-05,0.0030232,modeled
07/18/2025,washingtonpost.com,banner,Brazil,970x250,desktop,0.0155424,0.00010931,5.791e-05,0.01570963,modeled
08/01/2025,msn.com,display,Germany,728x90,desktop,0.01587051,0.00016144,8.572e-05,0.01611767,modeled
07/04/2025,engadget.com,native,Japan,300x250,mobile,0.00838322,7.661e-05,5.245e-05,0.00851228,measured
07/25/2025,msn.com,banner,Brazil,300x600,desktop,0.0570741,8.563e-05,7.334e-05,0.05723307,measured
07/31/2025,fox32chicago.com,audio,China,300x250,tablet,0.01958457,7.629e-05,0.00011179,0.01977265,measured
07/29/2025,espn.com,display,Brazil,728x90,tablet,0.0107132,5.142e-05,3.008e-05,0.0107947,modeled
07/16/2025,yahoo.com,display,Canada,970x250,desktop,0.04127341,0.00012637,0.00016813,0.0415679,measured
07/30/2025,washingtonpost.com,audio,Australia,300x250,mobile,0.0150692,3.562e-05,6.948e-05,0.0151743,measured
07/05/2025,techcrunch.com,banner,India,970x250,tablet,0.00422278,4.818e-05,4.992e-05,0.00432087,measured
07/17/2025,reuters.com,banner,Brazil,728x90,mobile,0.04931347,0.00015418,0.00014148,0.04960913,modeled
07/20/2025,forbes.com,audio,United States,728x90,tablet,0.00783694,3.271e-05,0.00011463,0.00798428,measured
07/08/2025,cnn.com,native,United Kingdom,300x250,tablet,0.03171084,2.173e-05,0.00020034,0.03193291,modeled
07/29/2025,washingtonpost.com,native,Brazil,728x90,mobile,0.00959901,5.568e-05,0.00013841,0.00979309,measured
07/20/2025,msn.com,banner,Germany,320x50,mobile,0.00807614,6.884e-05,5.985e-05,0.00820483,modeled
07/13/2025,washingtonpost.com,audio,China,970x250,mobile,0.01027442,0.00014222,0.00014386,0.0105605,measured
07/30/2025,msn.com,native,Australia,320x50,desktop,0.02837068,4.746e-05,0.00020137,0.02861951,measured
07/25/2025,techcrunch.com,native,Canada,970x250,mobile,0.00324801,8.648e-05,0.00021076,0.00354524,measured
07/15/2025,fox32chicago.com,display,China,300x250,mobile,0.00310278,4.794e-05,0.00013829,0.00328901,modeled
07/06/2025,espn.com,banner,Germany,160x600,mobile,0.03332561,5.137e-05,0.00019588,0.03357285,measured
07/13/2025,engadget.com,native,India,320x50,tablet,0.04306375,0.00012641,0.00011344,0.0433036,measured
07/25/2025,fox32chicago.com,display,France,728x90,tablet,0.02193197,5.011e-05,0.00014248,0.02212456,measured
07/05/2025,forbes.com,video,Brazil,970x250,mobile,0.01473658,0.00010708,9.516e-05,0.01493882,modeled
07/31/2025,usatoday.com,audio,France,160x600,tablet,0.02229527,5.901e-05,0.00024506,0.01908683,modeled
07/24/2025,reuters.com,video,China,160x600,tablet,0.01280208,8.86e-06,5.397e-05,0.01286491,modeled
07/07/2025,bloomberg.com,display,Brazil,970x250,tablet,0.01690558,0.00024515,0.00023865,0.01738937,measured
07/08/2025,washingtonpost.com,display,Australia,160x600,mobile,0.0013167,1.969e-05,0.00028978,0.00162617,measured
07/09/2025,weather.com,display,China,970x250,mobile,0.02624324,0.00033263,9.13e-05,0.02666717,measured
07/03/2025,reuters.com,audio,United States,970x250,mobile,0.00792659,8.804e-05,8.984e-05,0.00810446,measured
07/29/2025,nytimes.com,video,Canada,970x250,desktop,0.03396997,5.456e-05,0.00010736,0.03413189,measured
07/22/2025,theverge.com,display,United States,160x600,desktop,0.00695515,0.00014237,5.897e-05,0.00715649,modeled
07/21/2025,washingtonpost.com,video,Australia,728x90,desktop,0.02259412,0.00027267,2.108e-05,0.02288787,modeled
07/28/2025,theverge.com,display,Germany,160x600,mobile,0.04440162,0.00010274,4.76e-05,0.04455196,measured
07/26/2025,cnn.com,native,France,300x600,mobile,0.01811921,0.00013951,6.722e-05,0.01832594,modeled
07/05/2025,cnn.com,audio,Japan,160x600,tablet,0.0235243,0.00023428,8.72e-05,0.02384578,modeled
08/02/2025,reuters.com,display,India,300x600,desktop,0.00687728,7.547e-05,0.00013917,0.00709193,modeled
07/23/2025,washingtonpost.com,video,United Kingdom,300x250,desktop,0.0351593,7.354e-05,9.393e-05,0.03532677,measured
07/12/2025,theverge.com,native,Australia,320x50,tablet,0.00671754,1.565e-05,3.955e-05,0.00677275,modeled
08/02/2025,forbes.com,banner,Australia,160x600,tablet,0.00491487,6.767e-05,3.055e-05,0.00501309,measured
07/16/2025,usatoday.com,video,Brazil,320x50,desktop,0.0159755,0.00026873,0.00028681,0.01653104,measured
07/24/2025,washingtonpost.com,native,United Kingdom,300x250,tablet,0.01343075,0.00038426,0.00013954,0.01395456,measured
07/09/2025,usatoday.com,audio,Germany,728x90,desktop,0.01935695,7.436e-05,0.00012998,0.01956129,modeled
07/29/2025,engadget.com,video,Canada,300x600,desktop,0.01058941,6.793e-05,0.00035679,0.01101414,modeled
07/11/2025,msn.com,banner,Germany,970x250,desktop,0.0384844,8.36e-06,3.44e-05,0.03852715,modeled
07/07/2025,fox32chicago.com,video,United States,970x250,mobile,0.00850676,0.0001595,0.00031249,0.01477844,modeled
07/19/2025,techcrunch.com,banner,China,160x600,tablet,0.02782728,2.963e-05,8.617e-05,0.02794308,modeled
07/10/2025,theverge.com,display,India,160x600,tablet,0.02381638,6.876e-05,9.825e-05,0.02398339,modeled
08/02/2025,cnn.com,banner,Brazil,300x250,mobile,0.01242744,0.0001828,0.00020445,0.02278643,measured
07/22/2025,bloomberg.com,native,Canada,300x600,tablet,0.01298133,0.00010621,4.137e-05,0.0131289,modeled
07/12/2025,forbes.com,video,India,160x600,mobile,0.01078816,0.00017104,2.852e-05,0.01098773,measured
07/31/2025,weather.com,display,United Kingdom,160x600,mobile,0.02577823,8.24e-06,0.00039649,0.02618297,measured
07/24/2025,yahoo.com,banner,United Kingdom,160x600,desktop,0.01057516,0.00011184,0.00014548,0.01083249,modeled
07/26/2025,reuters.com,display,India,970x250,desktop,0.01868333,0.00010482,2.322e-05,0.01881137,modeled
07/16/2025,forbes.com,audio,Japan,320x50,mobile,0.01897128,7.201e-05,8.5e-05,0.01912829,measured
07/06/2025,yahoo.com,display,United Kingdom,300x600,mobile,0.00850273,9.663e-05,5.566e-05,0.00865502,modeled
07/06/2025,engadget.com,audio,China,970x250,tablet,0.03379627,0.00011771,0.00016156,0.03407554,modeled
07/20/2025,washingtonpost.com,display,Japan,320x50,desktop,0.03284434,1.204e-05,4.003e-05,0.04147809,measured
07/08/2025,forbes.com,banner,United States,970x250,tablet,0.02428265,4.472e-05,7.962e-05,0.02440699,measured
07/09/2025,usatoday.com,audio,Canada,300x600,desktop,0.00430389,3.488e-05,0.00027444,0.00461321,measured
07/31/2025,fox32chicago.com,native,Japan,970x250,mobile,0.02388102,9.584e-05,8.228e-05,0.02405915,modeled
07/18/2025,techcrunch.com,native,Canada,300x250,mobile,0.01829195,0.00018171,7.31e-05,0.01854676,measured
07/24/2025,washingtonpost.com,audio,Australia,300x250,desktop,0.01621904,0.00025787,0.0002206,0.0166975,measured
07/09/2025,techcrunch.com,banner,Canada,300x250,mobile,0.01040876,0.00013026,2.803e-05,0.01056705,modeled
07/26/2025,forbes.com,display,India,300x250,mobile,0.01572408,0.00013016,0.00017658,0.01603083,modeled
07/30/2025,theverge.com,audio,Canada,160x600,tablet,0.02585732,0.00014959,0.0001866,0.0261935,measured
07/15/2025,weather.com,video,Canada,300x600,mobile,0.022851,9.747e-05,4.995e-05,0.02299842,measured
07/29/2025,engadget.com,audio,Australia,160x600,tablet,0.03429502,8.081e-05,0.00021683,0.03459266,measured
07/05/2025,nytimes.com,banner,Germany,300x600,tablet,0.03195143,5.426e-05,9.33e-05,0.032099,measured
07/06/2025,usatoday.com,video,Germany,300x250,desktop,0.01298542,0.00019351,6.064e-05,0.01323957,modeled
07/11/2025,bloomberg.com,native,Brazil,300x600,tablet,0.04319538,9.668e-05,0.00016286,0.04345491,modeled
07/17/2025,bloomberg.com,banner,Brazil,160x600,mobile,0.03099189,8.876e-05,0.00027643,0.03135707,measured
07/23/2025,usatoday.com,native,Japan,160x600,desktop,0.01084075,0.00021143,9.241e-05,0.01114459,measured
07/04/2025,engadget.com,audio,United Kingdom,300x600,tablet,0.04335162,5.905e-05,0.0001063,0.04351696,measured
07/15/2025,techcrunch.com,display,France,300x600,mobile,0.00677379,4.295e-05,0.00012978,0.00694653,modeled
07/19/2025,techcrunch.com,banner,Canada,300x600,tablet,0.01987691,0.00016439,0.00011243,0.02015373,modeled
07/08/2025,reuters.com,display,Canada,160x600,mobile,0.02210706,9.455e-05,0.00019093,0.02654497,measured
07/27/2025,bloomberg.com,banner,Canada,300x600,tablet,0.00971477,5.354e-05,7.774e-05,0.00984606,modeled
07/15/2025,reuters.com,display,Canada,970x250,tablet,0.03721159,0.00021277,8.265e-05,0.03750701,modeled
07/24/2025,weather.com,video,Canada,970x250,tablet,0.01050569,0.00013123,0.00036553,0.01100244,modeled
07/29/2025,weather.com,display,United States,320x50,desktop,0.0522636,4.971e-05,9.717e-05,0.05241047,modeled
08/02/2025,espn.com,banner,Japan,300x600,tablet,0.02063627,0.00010684,0.00011588,0.02085899,measured
07/29/2025,theverge.com,audio,Germany,160x600,desktop,0.008339,8.121e-05,0.00041782,0.00883803,modeled
07/08/2025,fox32chicago.com,native,France,300x600,mobile,0.01083762,9.863e-05,0.00060162,0.01153787,modeled
07/27/2025,nytimes.com,video,Brazil,320x50,tablet,0.01070966,0.00013555,0.00042946,0.01127467,measured
08/02/2025,washingtonpost.com,audio,India,160x600,desktop,0.02551402,0.00017734,0.00023729,0.02592865,measured
07/29/2025,fox32chicago.com,audio,Canada,300x250,tablet,0.02411075,0.00020818,0.00021218,0.02453111,modeled
07/30/2025,techcrunch.com,audio,Brazil,728x90,mobile,0.01460094,9.317e-05,0.00017515,0.01486925,modeled
07/05/2025,theverge.com,native,United States,300x250,mobile,0.01208694,9.629e-05,0.00013819,0.01232142,modeled
07/19/2025,usatoday.com,banner,Canada,970x250,tablet,0.02646582,0.00031549,0.00016078,0.02694209,measured
07/13/2025,theverge.com,native,Germany,160x600,tablet,0.04645214,0.00012905,0.00015355,0.04673475,modeled
07/03/2025,engadget.com,audio,China,160x600,desktop,0.01154205,9.65e-05,0.00014754,0.01178609,modeled
07/27/2025,nytimes.com,native,China,300x250,desktop,0.00916359,5.221e-05,0.00017621,0.00939201,measured
07/29/2025,reuters.com,display,Germany,160x600,desktop,0.0461478,7.916e-05,3.273e-05,0.04625969,modeled
07/22/2025,bloomberg.com,banner,Canada,300x600,tablet,0.00665344,0.00013793,4e-05,0.00683137,measured
07/19/2025,yahoo.com,display,Australia,320x50,tablet,0.03065784,0.00013274,0.00012335,0.03091393,modeled
07/03/2025,forbes.com,audio,United Kingdom,970x250,mobile,0.00923493,6.871e-05,0.0001731,0.00947674,modeled
07/07/2025,bloomberg.com,video,Brazil,728x90,desktop,0.00516813,0.00021559,0.00017195,0.00647595,modeled
07/25/2025,nytimes.com,banner,France,320x50,mobile,0.02328607,0.00013209,0.00032311,0.02374127,measured
07/19/2025,techcrunch.com,display,Japan,300x250,tablet,0.01933466,0.00013799,7.497e-05,0.01954761,measured
07/13/2025,weather.com,display,Australia,728x90,mobile,0.05240375,9.188e-05,7.464e-05,0.05257027,measured
07/25/2025,forbes.com,audio,Australia,728x90,tablet,0.01154458,1.119e-05,9.186e-05,0.01164763,measured
07/12/2025,washingtonpost.com,native,China,728x90,tablet,0.00087299,0.00014504,0.00018228,0.00120031,modeled
07/17/2025,theverge.com,display,Australia,970x250,desktop,0.00704047,8.029e-05,0.00013296,0.00725373,modeled
07/05/2025,techcrunch.com,banner,Germany,728x90,tablet,0.00573903,6.987e-05,0.00013613,0.00594503,measured
07/24/2025,nytimes.com,display,Canada,160x600,tablet,0.01367494,4.661e-05,5.433e-05,0.01377588,modeled
07/04/2025,usatoday.com,audio,United Kingdom,728x90,tablet,0.0132947,5.163e-05,0.00020164,0.01354797,measured
07/14/2025,cnn.com,native,Germany,300x600,mobile,0.04204572,0.0001584,0.00013959,0.04234371,measured
08/01/2025,forbes.com,display,China,970x250,mobile,0.00963216,0.0001555,0.00021028,0.00999794,measured
07/09/2025,theverge.com,display,United Kingdom,970x250,mobile,0.04011517,9.675e-05,0.00040499,0.04061692,modeled
07/25/2025,engadget.com,display,Germany,300x600,desktop,0.01935447,4.796e-05,8.934e-05,0.01949177,measured
07/06/2025,yahoo.com,audio,India,320x50,mobile,0.02436864,5.152e-05,0.00040317,0.02482332,modeled
07/28/2025,cnn.com,native,Australia,300x600,mobile,0.02295801,8.581e-05,0.00014612,0.02318994,modeled
07/27/2025,usatoday.com,native,Brazil,970x250,tablet,0.01355987,1.537e-05,8.94e-05,0.01366463,modeled
07/14/2025,espn.com,banner,United States,300x600,desktop,0.04636357,9.868e-05,0.00027335,0.04673559,modeled
07/12/2025,nytimes.com,display,India,300x250,mobile,0.03483096,8.087e-05,0.00021269,0.03512452,measured
07/09/2025,washingtonpost.com,audio,United Kingdom,970x250,desktop,0.00347507,0.0002196,0.00033269,0.00402735,measured
07/21/2025,reuters.com,display,China,300x600,desktop,0.02389271,0.00010132,0.00013071,0.02412474,modeled
07/29/2025,bloomberg.com,video,Japan,300x600,mobile,0.03685355,0.00014373,9.929e-05,0.03709658,modeled
07/22/2025,msn.com,native,Japan,728x90,tablet,0.00598796,2.459e-05,0.00029275,0.00630529,measured
07/15/2025,espn.com,native,Brazil,728x90,mobile,0.01606823,0.00011807,0.00014143,0.01632773,modeled
07/22/2025,engadget.com,video,Australia,320x50,tablet,0.00498433,1.783e-05,9.383e-05,0.00509598,measured
07/20/2025,washingtonpost.com,banner,Germany,300x250,mobile,0.01255862,6.276e-05,0.0001028,0.01272418,modeled
08/02/2025,engadget.com,audio,Canada,970x250,mobile,0.06042323,0.0001691,0.00015955,0.06075187,measured
07/09/2025,yahoo.com,native,Japan,300x250,desktop,0.01575928,8.095e-05,0.00022422,0.01606445,measured
08/02/2025,nytimes.com,banner,United States,320x50,mobile,0.01564619,0.00015758,0.00017242,0.01597618,measured
07/22/2025,fox32chicago.com,video,Australia,320x50,tablet,0.06077815,7.464e-05,0.00028366,0.06113645,measured
07/14/2025,fox32chicago.com,display,France,300x600,mobile,0.0065236,4.921e-05,0.0004448,0.0070176,measured
07/05/2025,washingtonpost.com,audio,China,300x250,desktop,0.03061155,0.0001196,0.00056746,0.0312986,measured
07/06/2025,usatoday.com,audio,France,300x600,mobile,0.01593382,0.000177,0.00029734,0.01640817,measured
07/19/2025,msn.com,audio,China,728x90,mobile,0.04789814,2.908e-05,0.00012682,0.03883232,measured
08/01/2025,reuters.com,audio,Japan,320x50,tablet,0.02128145,0.00023693,0.00018587,0.02170425,modeled
07/29/2025,washingtonpost.com,display,United States,320x50,tablet,0.0372216,2.655e-05,0.0001049,0.03735306,measured
07/06/2025,forbes.com,audio,United States,160x600,mobile,0.04148248,7.265e-05,0.00013495,0.04169008,measured
08/02/2025,reuters.com,audio,India,160x600,desktop,0.04688949,3.975e-05,7.763e-05,0.04700686,modeled
07/29/2025,forbes.com,native,United States,320x50,mobile,0.0047564,0.00024061,0.00026718,0.00526419,modeled
07/07/2025,techcrunch.com,banner,Brazil,970x250,desktop,0.03282556,6.407e-05,3.515e-05,0.03292479,modeled
07/19/2025,yahoo.com,video,Canada,160x600,tablet,0.00317113,0.00020843,0.00020046,0.00358003,measured
07/13/2025,nytimes.com,audio,Japan,320x50,desktop,0.02850971,0.00010283,6.964e-05,0.02868218,measured
08/02/2025,forbes.com,display,Brazil,160x600,mobile,0.01329942,3.442e-05,4.875e-05,0.01338259,measured
07/20/2025,reuters.com,native,Australia,320x50,desktop,0.03155527,1.751e-05,5.543e-05,0.03162821,measured
07/12/2025,yahoo.com,video,Brazil,728x90,tablet,0.01393161,9.032e-05,3.756e-05,0.02316577,modeled
07/11/2025,reuters.com,video,France,300x250,tablet,0.02302442,9.864e-05,0.00032967,0.02345272,measured
07/31/2025,weather.com,banner,Brazil,970x250,desktop,0.0182959,0.00012355,7.318e-05,0.01849263,modeled
07/03/2025,theverge.com,native,Brazil,970x250,desktop,0.00948987,2.607e-05,7.381e-05,0.00958975,modeled
07/27/2025,fox32chicago.com,audio,United Kingdom,728x90,tablet,0.01314151,0.00019261,6.433e-05,0.01339844,measured
07/26/2025,espn.com,banner,Germany,160x600,mobile,0.06253125,0.0001313,0.0001808,0.06284335,modeled
07/08/2025,fox32chicago.com,banner,China,320x50,mobile,0.01723869,7.42e-05,8.365e-05,0.01739654,measured
07/17/2025,espn.com,display,Brazil,728x90,desktop,0.00449975,4.148e-05,0.00038437,0.0049256,measured
07/13/2025,forbes.com,display,Canada,300x600,tablet,0.02514419,0.00023883,8.183e-05,0.02546485,measured
07/27/2025,msn.com,banner,Australia,728x90,desktop,0.00669887,8.555e-05,6.857e-05,0.006853,measured
07/18/2025,,display,Brazil,320x50,mobile,0.01987068,1.784e-05,1.523e-05,0.01990376,modeled
07/21/2025,usatoday.com,banner,United States,160x600,mobile,0.02197713,0.00024463,0.00018146,0.02240322,modeled
07/08/2025,bloomberg.com,display,Japan,300x600,desktop,0.02496366,8.834e-05,0.0001516,0.0252036,measured
07/10/2025,forbes.com,native,Canada,970x250,tablet,0.00426707,4.43e-05,0.00030608,0.00461745,measured
08/01/2025,bloomberg.com,audio,United Kingdom,160x600,tablet,0.01290648,0.00018873,0.00014851,0.01324372,modeled
07/25/2025,msn.com,audio,France,300x600,desktop,0.01927099,6.493e-05,0.00022065,0.01955657,modeled
07/08/2025,nytimes.com,banner,Brazil,300x600,mobile,0.03231978,4.22e-05,3.769e-05,0.03239967,measured
07/28/2025,yahoo.com,native,India,970x250,mobile,0.00242406,0.00012061,0.00017763,0.0027223,modeled
07/26/2025,reuters.com,display,Australia,970x250,desktop,0.07401304,8.873e-05,0.00012338,0.06931429,modeled
07/20/2025,yahoo.com,video,Australia,728x90,tablet,0.0203625,0.00010587,0.00011607,0.02058444,modeled
07/26/2025,theverge.com,native,Australia,300x250,tablet,0.00869004,8.517e-05,0.00013239,0.0089076,measured
